Tempo (0.100 seg);PV;SP;MV
2537.10;49.80;50.00;41.91
2537.20;50.45;50.00;41.25
2537.30;50.20;50.00;41.50
2537.40;49.06;50.00;42.65
2537.50;49.69;50.00;42.02
2537.60;50.80;50.00;40.91
2537.70;49.97;50.00;41.73
2537.80;50.16;50.00;41.55
2537.90;49.25;50.00;42.47
2538.00;50.06;50.00;41.65
2538.10;49.96;50.00;41.76
2538.20;50.61;50.00;41.10
2538.30;50.82;50.00;40.88
2538.40;49.53;50.00;42.17
2538.50;50.48;50.00;41.22
2538.60;49.91;50.00;41.79
2538.70;50.96;50.00;40.73
2538.80;51.06;50.00;40.62
2538.90;51.11;50.00;40.56
2539.00;50.87;50.00;40.79
2539.10;50.69;50.00;40.97
2539.20;50.62;50.00;41.02
2539.30;49.76;50.00;41.89
2539.40;49.97;50.00;41.68
2539.50;49.38;50.00;42.28
2539.60;50.01;50.00;41.65
2539.70;49.44;50.00;42.22
2539.80;49.05;50.00;42.62
2539.90;50.46;50.00;41.21
2540.00;49.75;50.00;41.92
2540.10;50.84;50.00;40.82
2540.20;50.10;50.00;41.56
2540.30;48.99;50.00;42.68
2540.40;49.79;50.00;41.89
2540.50;48.98;50.00;42.71
2540.60;49.63;50.00;42.06
2540.70;50.88;50.00;40.80
2540.80;50.26;50.00;41.41
2540.90;49.18;50.00;42.50
2541.00;50.88;50.00;40.79
2541.10;49.22;50.00;42.47
2541.20;49.15;50.00;42.54
2541.30;50.25;50.00;41.44
2541.40;49.58;50.00;42.12
2541.50;50.16;50.00;41.54
2541.60;50.50;50.00;41.18
2541.70;50.93;50.00;40.74
2541.80;49.12;50.00;42.57
2541.90;49.36;50.00;42.33
2542.00;50.68;50.00;41.00
2542.10;49.51;50.00;42.18
2542.20;50.24;50.00;41.45
2542.30;49.09;50.00;42.60
2542.40;49.71;50.00;41.99
2542.50;50.86;50.00;40.83
2542.60;49.78;50.00;41.91
2542.70;49.08;50.00;42.62
2542.80;50.62;50.00;41.08
2542.90;49.29;50.00;42.42
2543.00;50.02;50.00;41.69
2543.10;50.25;50.00;41.45
2543.20;50.14;50.00;41.56
2543.30;49.45;50.00;42.25
2543.40;50.33;50.00;41.38
2543.50;49.95;50.00;41.75
2543.60;50.21;50.00;41.49
2543.70;50.94;50.00;40.75
2543.80;49.57;50.00;42.12
2543.90;50.87;50.00;40.82
2544.00;50.18;50.00;41.51
2544.10;50.46;50.00;41.22
2544.20;51.08;50.00;40.59
2544.30;49.50;50.00;42.17
2544.40;49.55;50.00;42.13
2544.50;49.66;50.00;42.02
2544.60;50.22;50.00;41.46
2544.70;50.32;50.00;41.35
2544.80;49.45;50.00;42.23
2544.90;50.61;50.00;41.07
2545.00;50.69;50.00;40.97
2545.10;49.58;50.00;42.10
2545.20;50.70;50.00;40.97
2545.30;50.87;50.00;40.79
2545.40;49.40;50.00;42.27
2545.50;50.64;50.00;41.01
2545.60;50.40;50.00;41.25
2545.70;50.18;50.00;41.47
2545.80;49.80;50.00;41.85
2545.90;48.99;50.00;42.68
2546.00;49.27;50.00;42.40
2546.10;50.74;50.00;40.93
2546.20;50.13;50.00;41.53
2546.30;50.86;50.00;40.79
2546.40;49.52;50.00;42.14
2546.50;49.22;50.00;42.44
2546.60;50.10;50.00;41.56
2546.70;49.59;50.00;42.08
2546.80;49.52;50.00;42.16
2546.90;50.35;50.00;41.32
2547.00;50.25;50.00;41.42
2547.10;49.36;50.00;42.32
2547.20;50.79;50.00;40.88
2547.30;50.03;50.00;41.64
2547.40;49.90;50.00;41.76
2547.50;50.82;50.00;40.84
2547.60;49.92;50.00;41.74
2547.70;50.22;50.00;41.44
2547.80;49.80;50.00;41.86
2547.90;50.17;50.00;41.49
2548.00;50.93;50.00;40.72
2548.10;49.34;50.00;42.32
2548.20;49.31;50.00;42.35
2548.30;49.91;50.00;41.75
2548.40;50.31;50.00;41.35
2548.50;50.41;50.00;41.24
2548.60;50.32;50.00;41.33
2548.70;49.30;50.00;42.36
2548.80;50.76;50.00;40.89
2548.90;50.75;50.00;40.90
2549.00;49.71;50.00;41.94
2549.10;50.35;50.00;41.29
2549.20;49.44;50.00;42.21
2549.30;49.25;50.00;42.41
2549.40;50.42;50.00;41.23
2549.50;49.3
