Tempo (0.100 seg);PV;SP;MV
26.60;59.62;60.00;41.96
26.70;59.17;60.00;42.34
26.80;60.69;60.00;41.07
26.90;59.93;60.00;41.71
27.00;59.90;60.00;41.73
27.10;60.38;60.00;41.33
27.20;60.00;60.00;41.64
27.30;59.88;60.00;41.74
27.40;60.39;60.00;41.32
27.50;60.27;60.00;41.42
27.60;59.74;60.00;41.86
27.70;60.31;60.00;41.38
27.80;60.98;60.00;40.81
27.90;58.72;60.00;42.70
28.00;59.38;60.00;42.16
28.10;58.90;60.00;42.57
28.20;60.16;60.00;41.52
28.30;59.63;60.00;41.96
28.40;59.65;60.00;41.95
28.50;59.80;60.00;41.83
28.60;59.24;60.00;42.30
28.70;60.09;60.00;41.60
28.80;59.27;60.00;42.28
28.90;59.63;60.00;41.99
29.00;60.08;60.00;41.61
29.10;60.75;60.00;41.04
29.20;59.59;60.00;42.02
29.30;59.32;60.00;42.24
29.40;61.09;60.00;40.76
29.50;58.91;60.00;42.58
29.60;60.46;60.00;41.30
29.70;58.86;60.00;42.63
29.80;58.86;60.00;42.64
29.90;60.38;60.00;41.38
30.00;59.21;60.00;42.35
30.10;61.12;60.00;40.76
30.20;60.21;60.00;41.51
30.30;59.70;60.00;41.94
30.40;60.10;60.00;41.60
30.50;60.87;60.00;40.96
30.60;61.30;60.00;40.59
30.70;60.79;60.00;41.01
30.80;60.33;60.00;41.39
30.90;59.70;60.00;41.91
31.00;61.05;60.00;40.78
31.10;60.90;60.00;40.90
31.20;60.87;60.00;40.92
31.30;61.27;60.00;40.57
31.40;60.99;60.00;40.80
31.50;60.79;60.00;40.95
31.60;58.93;60.00;42.51
31.70;59.02;60.00;42.45
31.80;61.09;60.00;40.72
31.90;59.96;60.00;41.66
32.00;60.34;60.00;41.34
32.10;59.35;60.00;42.17
32.20;61.04;60.00;40.75
32.30;60.97;60.00;40.80
32.40;59.00;60.00;42.45
32.50;58.76;60.00;42.66
32.60;60.02;60.00;41.61
32.70;59.00;60.00;42.47
32.80;60.36;60.00;41.33
32.90;58.92;60.00;42.54
33.00;59.36;60.00;42.18
33.10;59.63;60.00;41.96
33.20;59.95;60.00;41.69
33.30;59.67;60.00;41.93
33.40;59.00;60.00;42.49
33.50;60.29;60.00;41.42
33.60;58.78;60.00;42.69
33.70;58.84;60.00;42.65
33.80;59.42;60.00;42.17
33.90;60.02;60.00;41.67
34.00;60.21;60.00;41.51
34.10;58.76;60.00;42.73
34.20;59.46;60.00;42.15
34.30;59.15;60.00;42.41
34.40;60.41;60.00;41.35
34.50;60.40;60.00;41.37
34.60;59.81;60.00;41.86
34.70;61.06;60.00;40.81
34.80;61.22;60.00;40.66
34.90;59.37;60.00;42.21
35.00;59.97;60.00;41.71
35.10;61.28;60.00;40.61
35.20;59.61;60.00;42.00
35.30;60.72;60.00;41.07
35.40;60.76;60.00;41.03
35.50;60.32;60.00;41.40
35.60;59.63;60.00;41.98
35.70;59.69;60.00;41.93
35.80;60.43;60.00;41.31
35.90;59.22;60.00;42.32
36.00;61.11;60.00;40.73
36.10;60.45;60.00;41.29
36.20;61.11;60.00;40.73
36.30;59.40;60.00;42.16
36.40;61.08;60.00;40.75
36.50;60.70;60.00;41.06
36.60;59.18;60.00;42.33
36.70;59.66;60.00;41.93
36.80;60.60;60.00;41.14
36.90;59.83;60.00;41.78
37.00;60.33;60.00;41.37
37.10;59.90;60.00;41.73
37.20;60.52;60.00;41.21
37.30;59.47;60.00;42.08
37.40;59.47;60.00;42.09
37.50;59.67;60.00;41.93
37.60;60.36;60.00;41.35
37.70;58.79;60.00;42.66
37.80;59.76;60.00;41.86
37.90;61.04;60.00;40.79
38.00;60.25;60.00;41.44
38.10;58.93;60.00;42.55
38.20;58.80;60.00;42.67
38.30;59.00;60.00;42.51
38.40;58.95;60.00;42.56
38.50;59.79;60.00;41.86
38.60;59.52;60.00;42.09
38.70;60.20;60.00;41.52
38.80;59.64;60.00;41.99
38.90;58.75;60.00;42.74
39.00;60.27;60.00;41.48
39.10;60.53;60.00;41.25
39.20;59.94;60.00;41.74
39.30;61.01;60.00;40.85
39.40;60.06;60.00;41.64
39.50;60.50;60.00;41.27
39.60;59.13;60.00;42.42
39.70;60.53;60.00;41.25
39.80;59.70;60.00;41.94
39.90;61.06;60.00;40.79
40.00;59.17;60.00;42.37
40.10;59.09;60.00;42.45
40.20;61.33;60.00;40.58
40.30;59.06;60.00;42.48
40.40;59.29;60.00;42.29
40.50;60.89;60.00;40.95
40.60;59.21;60.00;42.35
40.70;61.31;60.00;40.59
40.80;60.77;60.00;41.04
40.90;59.38;60.00;42.20
41.00;59.86;60.00;41.80
41.10;59.90;60.00;41.77
41.20;60.58;60.00;41.20
41.30;59.70;60.00;41.94
41.40;59.82;60.00;41.84
41.50;59.67;60.00;41.96
41.60;60.03;60.00;41.66
41.70;59.82;60.00;41.84
41.80;60.17;60.00;41.55
41.90;59.90;60.00;41.77
42.00;59.99;60.00;41.69
42.10;60.16;60.00;41.55
42.20;60.27;60.00;41.46
42.30;59.41;60.00;42.19
42.40;59.09;60.00;42.46
42.50;60.65;60.00;41.15
42.60;59.33;60.00;42.26
